nut_stroke_mm,jaw_closing_angle_deg,dphi_ds_rad_per_mm,dphi_ds_deg_per_mm,d2phi_ds2_rad_per_mm2,d2phi_ds2_deg_per_mm2,jaw_omega_rad_per_s,jaw_omega_deg_per_s,jaw_alpha_rad_per_s2,jaw_alpha_deg_per_s2,joint3_x_mm,joint3_y_mm
3.312000,5.652396,0.031926179,1.829235,0.001523609,0.087296,0.031926179,1.829235,0.001523609,0.087296,-47.889435,27.967812
3.328000,5.681675,0.031950585,1.830634,0.001527172,0.087501,0.031950585,1.830634,0.001527172,0.087501,-47.888010,27.969640
3.344000,5.710976,0.031975048,1.832035,0.001530746,0.087705,0.031975048,1.832035,0.001530746,0.087705,-47.886574,27.971482
3.360000,5.740300,0.031999569,1.833440,0.001534331,0.087911,0.031999569,1.833440,0.001534331,0.087911,-47.885129,27.973336
3.376000,5.769646,0.032024147,1.834848,0.001537926,0.088117,0.032024147,1.834848,0.001537926,0.088117,-47.883673,27.975204
3.392000,5.799015,0.032048782,1.836260,0.001541533,0.088323,0.032048782,1.836260,0.001541533,0.088323,-47.882207,27.977084
3.408000,5.828406,0.032073476,1.837675,0.001545150,0.088531,0.032073476,1.837675,0.001545150,0.088531,-47.880731,27.978977
3.424000,5.857820,0.032098227,1.839093,0.001548778,0.088738,0.032098227,1.839093,0.001548778,0.088738,-47.879244,27.980884
3.440000,5.887257,0.032123037,1.840514,0.001552418,0.088947,0.032123037,1.840514,0.001552418,0.088947,-47.877747,27.982803
3.456000,5.916717,0.032147904,1.841939,0.001556068,0.089156,0.032147904,1.841939,0.001556068,0.089156,-47.876239,27.984736
3.472000,5.946199,0.032172831,1.843367,0.001559729,0.089366,0.032172831,1.843367,0.001559729,0.089366,-47.874722,27.986682
3.488000,5.975705,0.032197816,1.844799,0.001563402,0.089576,0.032197816,1.844799,0.001563402,0.089576,-47.873193,27.988641
3.504000,6.005233,0.032222860,1.846234,0.001567086,0.089787,0.032222860,1.846234,0.001567086,0.089787,-47.871655,27.990613
3.520000,6.034784,0.032247963,1.847672,0.001570780,0.089999,0.032247963,1.847672,0.001570780,0.089999,-47.870105,27.992598
3.536000,6.064358,0.032273125,1.849114,0.001574487,0.090211,0.032273125,1.849114,0.001574487,0.090211,-47.868546,27.994596
3.552000,6.093956,0.032298346,1.850559,0.001578204,0.090424,0.032298346,1.850559,0.001578204,0.090424,-47.866976,27.996608
3.568000,6.123576,0.032323627,1.852007,0.001581933,0.090638,0.032323627,1.852007,0.001581933,0.090638,-47.865395,27.998633
3.584000,6.153220,0.032348968,1.853459,0.001585674,0.090852,0.032348968,1.853459,0.001585674,0.090852,-47.863804,28.000671
3.600000,6.182887,0.032374369,1.854915,0.001589425,0.091067,0.032374369,1.854915,0.001589425,0.091067,-47.862202,28.002723
3.616000,6.212577,0.032399830,1.856373,0.001593189,0.091283,0.032399830,1.856373,0.001593189,0.091283,-47.860589,28.004788
3.632000,6.242291,0.032425351,1.857836,0.001596964,0.091499,0.032425351,1.857836,0.001596964,0.091499,-47.858966,28.006866
3.648000,6.272028,0.032450932,1.859301,0.001600750,0.091716,0.032450932,1.859301,0.001600750,0.091716,-47.857332,28.008958
3.664000,6.301789,0.032476575,1.860771,0.001604548,0.091934,0.032476575,1.860771,0.001604548,0.091934,-47.855688,28.011063
3.680000,6.331573,0.032502278,1.862243,0.001608358,0.092152,0.032502278,1.862243,0.001608358,0.092152,-47.854033,28.013182
3.696000,6.361380,0.032528042,1.863720,0.001612179,0.092371,0.032528042,1.863720,0.001612179,0.092371,-47.852367,28.015314
3.712000,6.391212,0.032553868,1.865199,0.001616013,0.092591,0.032553868,1.865199,0.001616013,0.092591,-47.850690,28.017459
3.728000,6.421067,0.032579755,1.866682,0.001619858,0.092811,0.032579755,1.866682,0.001619858,0.092811,-47.849002,28.019619
3.744000,6.450946,0.032605703,1.868169,0.001623715,0.093032,0.032605703,1.868169,0.001623715,0.093032,-47.847304,28.021791
3.760000,6.480848,0.032631714,1.869659,0.001627584,0.093254,0.032631714,1.869659,0.001627584,0.093254,-47.845595,28.023978
3.776000,6.510775,0.032657786,1.871153,0.001631465,0.093476,0.032657786,1.871153,0.001631465,0.093476,-47.843875,28.026178
3.792000,6.540725,0.032683920,1.872651,0.001635358,0.093699,0.032683920,1.872651,0.001635358,0.093699,-47.842144,28.028391
3.808000,6.570699,0.032710117,1.874152,0.001639263,0.093923,0.032710117,1.874152,0.001639263,0.093923,-47.840402,28.030618
3.824000,6.600698,0.032736377,1.875656,0.001643181,0.094147,0.032736377,1.875656,0.001643181,0.094147,-47.838649,28.032859
